,Immoweb ID,Property type,property sub-type,Price,Post code,Building condition,Kitchen type,Bedrooms,Furnished,Terrace surface,Tenement building,Number of frontages,Swimming pool,How many fireplaces?,Garden,Garden orientation,Garden surface,Terrace,Surface of the plot
7814,9462710,HOUSE,VILLA,535000.0,1650,Good,USA hyper equipped,3.0,,,No,4.0,,,,,,Yes,
7815,9629375,HOUSE,VILLA,597000.0,2610,To renovate,Semi equipped,3.0,,,No,4.0,,,,,,Yes,489.0
7816,9586827,HOUSE,VILLA,650000.0,1440,As new,,3.0,,80.0,No,4.0,Yes,,,,,,2676.0
7817,9252276,HOUSE,VILLA,845000.0,4654,Good,Installed,11.0,No,,No,4.0,,,,,1400.0,,1626.0
7818,8729035,HOUSE,VILLA,1090000.0,7730,As new,Hyper equipped,5.0,,,No,4.0,Yes,,,,,Yes,1744.0
7819,9621383,HOUSE,VILLA,2050000.0,1050,As new,Hyper equipped,5.0,,20.0,No,3.0,,,,,40.0,,160.0
7820,8791560,HOUSE,VILLA,2475000.0,3080,,,7.0,No,,No,4.0,Yes,,,,,Yes,5800.0
7821,9364454,HOUSE,VILLA,1295000.0,2920,Good,Installed,5.0,No,48.0,No,4.0,No,,,South,3000.0,,3000.0
7822,9713791,HOUSE,VILLA,449000.0,6220,As new,,3.0,No,,No,4.0,No,,,,,Yes,1600.0
7823,9729223,HOUSE,VILLA,648000.0,1300,,USA hyper equipped,3.0,No,6.0,No,2.0,,,,,350.0,,460.0
7824,9723551,HOUSE,VILLA,425000.0,4684,As new,Installed,4.0,,,No,4.0,,,,,1201.0,Yes,1300.0
7825,9691052,HOUSE,VILLA,270000.0,7100,As new,Installed,4.0,,,No,4.0,,,,,,Yes,
7826,9640294,HOUSE,VILLA,350000.0,7100,Good,Installed,5.0,No,,No,4.0,,,,,,Yes,685.0
7827,9686383,HOUSE,VILLA,495000.0,4684,As new,USA installed,4.0,,,No,4.0,Yes,,,,,Yes,1500.0
7828,9544258,HOUSE,VILLA,545000.0,7850,As new,Installed,3.0,No,65.0,No,4.0,,,,,2500.0,,3100.0
7829,9532812,HOUSE,VILLA,659000.0,3070,,,6.0,No,,No,4.0,,,Yes,North East,,Yes,1142.0
7830,8751351,HOUSE,VILLA,775000.0,3830,As new,,5.0,No,,No,,,,,,,,7192.0
7831,6627385,HOUSE,VILLA,1980000.0,2970,Good,,4.0,No,50.0,No,4.0,No,,Yes,South,,,3016.0
7832,9395255,HOUSE,VILLA,5000000.0,2900,Good,,7.0,No,,No,4.0,,,,South,16500.0,,16750.0
7834,9665032,HOUSE,VILLA,370000.0,5310,As new,Installed,4.0,No,35.0,No,4.0,,,,,600.0,,1000.0
7835,9703681,HOUSE,VILLA,410000.0,1300,As new,Installed,4.0,No,,No,4.0,No,1.0,,South,818.0,,1000.0
7836,9692965,HOUSE,VILLA,420000.0,2900,,,4.0,No,,No,,,,,South West,70.0,,198.0
7837,9689704,HOUSE,VILLA,530000.0,1820,Just renovated,,3.0,No,25.0,No,4.0,No,,,,600.0,,788.0
7838,9619806,HOUSE,VILLA,595000.0,9030,Good,,3.0,No,,No,,,1.0,,,,Yes,
7839,9617776,HOUSE,VILLA,610000.0,3800,,,4.0,No,,No,,No,,Yes,South,,,1431.0
7840,9673510,HOUSE,VILLA,739000.0,2360,,,3.0,No,,No,,No,,Yes,West,,,15394.0
7841,9689351,HOUSE,VILLA,749000.0,1180,,USA installed,3.0,No,20.0,No,4.0,No,1.0,,,1.0,,714.0
7842,9271490,HOUSE,VILLA,1375000.0,3960,As new,Installed,5.0,No,,No,4.0,,,,,,,2831.0
7843,9695964,HOUSE,VILLA,1950000.0,2610,,,3.0,No,,No,,No,,,North East,1082.0,,1082.0
7844,9379770,HOUSE,VILLA,2675000.0,2500,,,8.0,No,,No,,Yes,,,South,4500.0,,4500.0
7845,9682433,HOUSE,VILLA,288700.0,4820,,,4.0,,,,3.0,,,Yes,West,,,1141.0
7846,9715453,HOUSE,VILLA,449000.0,9200,As new,Hyper equipped,2.0,,,No,4.0,,,,,,Yes,1767.0
